hb_W_m2K,temps_h,temperature_non_regulee_C
30,57.75,40.44712567867145
30,58.0,40.4663734257089
30,58.25,40.48541133070944
30,58.5,40.50424168140474
30,58.75,40.52286674058525
30,59.0,40.54128874637212
30,59.25,40.55950991248613
30,59.5,40.57753242851372
30,59.75,40.59535846017013
30,60.0,40.6129901495596
50,0.0,20.0
50,0.25,20.29954001778023
50,0.5,20.59512738627526
50,0.75,20.886814263578966
50,1.0,21.174652119521113
50,1.25,21.458691744749455
50,1.5,21.738983259692073
50,1.75,22.01557612340138
50,2.0,22.288519142281487
50,2.25,22.557860478700352
50,2.5,22.823647659488316
50,2.75,23.08592758432449
50,3.0,23.344746534012472
50,3.25,23.600150178646842
50,3.5,23.852183585671945
50,3.75,24.100891227834282
50,4.0,24.346316991029983
50,4.25,24.58850418204873
50,4.5,24.82749553621549
50,4.75,25.06333322493141
50,5.0,25.296058863115192
50,5.25,25.52571351654631
50,5.5,25.75233770911128
50,5.75,25.975971429954335
50,6.0,26.196654140533752
50,6.25,26.41442478158506
50,6.5,26.629321779992317
50,6.75,26.841383055568812
50,7.0,27.050646027748186
50,7.25,27.257147622187333
50,7.5,27.46092427728214
50,7.75,27.66201195059724
50,8.0,27.86044612521096
50,8.25,28.056261815976477
50,8.5,28.249493575700413
50,8.75,28.440175501239878
50,9.0,28.628341239519063
50,9.25,28.814023993466392
50,9.5,28.997256527873432
50,9.75,29.17807117517637
50,10.0,29.356499841161316
50,10.25,29.532574010594203
50,10.5,29.706324752776503
50,10.75,29.877782727027558
50,11.0,30.0469781880946
50,11.25,30.21394099149138
50,11.5,30.378700598766343
50,11.75,30.541286082701287
50,12.0,30.701726132441415
50,12.25,30.86004905855772
50,12.5,31.01628279804252
50,12.75,31.170454919239134
50,13.0,31.322592626706452
50,13.25,31.47272276601933
50,13.5,31.620871828505685
50,13.75,31.767065955920984
50,14.0,31.911330945061167
50,14.25,32.0536922523146
50,14.5,32.19417499815401
50,14.75,32.332803971569156
50,15.0,32.46960363444096
50,15.25,32.604598125857954
50,15.5,32.7378112663758
50,15.75,32.8692665622205
50,16.0,32.99898720943625
50,16.25,33.12699609797851
50,16.5,33.25331581575305
50,16.75,33.37796865260172
50,17.0,33.50097660423567
50,17.25,33.622361376116515
50,17.5,33.742144387286515
50,17.75,33.86034677414798
50,18.0,33.97698939419297
50,18.25,34.09209282968372
50,18.5,34.20567739128447
50,18.75,34.31776312164541
50,19.0,34.42836979893933
50,19.25,34.53751694035158
50,19.5,34.64522380552401
50,19.75,34.75150939995341
50,20.0,34.856392478345185
50,20.25,34.95989154792268
50,20.5,35.062024871692934
50,20.75,35.16281047166926
50,21.0,35.262266132051344
50,21.25,35.36040940236337
50,21.5,35.45725760055074
50,21.75,35.552827816035915
50,22.0,35.64713691273394
50,22.25,35.740201532028195
50,22.5,35.83203809570686
50,22.75,35.9226628088606
50,23.0,36.0120916627421
50,23.25,36.10034043758778
50,23.5,36.18742470540232
50,23.75,36.27335983270641
50,24.0,36.358160983248304
50,24.25,36.4418431206795
50,24.5,36.5244210111952
50,24.75,36.605909226139865
50,25.0,36.68632214457844
50,25.25,36.7656739558336
50,25.5,36.84397866198954
50,25.75,36.92125008036273
50,26.0,36.99750184594007
50,26.25,37.07274741378484
50,26.5,37.14700006141093
50,26.75,37.220272891125745
50,27.0,37.29257883234218
50,27.25,37.36393064386007
50,27.5,37.43434091611759
50,27.75,37.50382207341286
50,28.0,37.57238637609634
50,28.25,37.640045922734195
50,28.5,37.70681265224319
50,28.75,37.772698345997334
50,29.0,37.83771462990684
50,29.25,37.90187297646953
50,29.5,37.96518470679521
50,29.75,38.027660992603444
50,30.0,38.08931285819472
50,30.25,38.150151182395874
50,30.5,38.21018670047968
50,30.75,38.269430006059125
50,31.0,38.32789155295675
50,31.25,38.38558165704927
50,31.5,38.44251049808788
50,31.75,38.49868812149451
50,32.0,38.55412444013443
50,32.25,38.60882923606539
50,32.5,38.66281216226376
50,32.75,38.71608274432785
50,33.0,38.76865038215871
50,33.25,38.82052435161885
50,33.5,38.87171380616901
50,33.75,38.922227778483325
50,34.0,38.97207518204318
50,34.25,39.02126481271008
50,34.5,39.06980535027771
50,34.75,39.11770536000355
50,35.0,39.16497329412024
50,35.25,39.211617493327026
50,35.5,39.25764618826157
50,35.75,39.303067500952224
50,36.0,39.34788944625127
50,36.25,39.392119933249155
50,36.5,39.435766766670085
50,36.75,39.478837648249254
50,37.0,39.52134017809182
50,37.25,39.56328185601401
50,37.5,39.60467008286649
50,37.75,39.645512161840315
50,38.0,39.68581529975558
50,38.25,39.725586608333145
50,38.5,39.764833105449505
50,38.75,39.80356171637515
50,39.0,39.841779274996576
50,39.25,39.87949252502215
50,39.5,39.91670812117209
50,39.75,39.953432630352715
50,40.0,39.98967253281522
50,40.25,40.02543422329915
50,40.5,40.0607240121608
50,40.75,40.0955481264867
50,41.0,40.12991271119241
50,41.25,40.163823830106885
50,41.5,40.19728746704238
50,41.75,40.230309526850405
50,42.0,40.26289583646364
50,42.25,40.295052145924124
50,42.5,40.32678412939789
50,42.75,40.35809738617623
50,43.0,40.38899744166367
50,43.25,40.419489748353
50,43.5,40.44957968678739
50,43.75,40.4792725665098
50,44.0,40.50857362699991
50,44.25,40.537488038598624
50,44.5,40.566020903420444
50,44.75,40.594177256253715
50,45.0,40.62196206544909
50,45.25,40.64938023379621
